2.844,0.04,-0.256,0.965
2.844,0.025,-0.234,0.971
2.844,0.035,-0.232,0.975
3.125,0.038,-0.227,0.984
3.125,0.046,-0.191,0.991
3.125,0.046,-0.126,0.982
3.328,0.047,0.008,0.951
3.328,0.021,0.246,0.912
3.328,0.053,0.412,0.88
3.609,0.071,0.462,0.824
3.609,0.068,0.617,0.729
3.609,0.078,0.824,0.63
3.797,0.092,0.876,0.557
3.797,0.107,0.875,0.501
3.797,0.063,1.068,0.416
4.047,0.031,1.081,0.356
4.047,0.051,1.059,0.342
4.047,0.055,1.039,0.333
4.281,0.058,0.996,0.344
4.281,0.049,1.002,0.372
4.281,0.043,1.091,0.367
4.515,0.073,1.162,0.375
4.515,0.067,0.997,0.436
4.515,0.069,0.765,0.561
4.75,0.069,0.721,0.688
4.75,0.065,0.652,0.762
4.75,0.065,0.475,0.827
5,0.047,0.244,0.898
5,0.028,0.104,0.95
5,0.02,0.043,0.978
5.234,0.033,-0.011,0.983
5.234,0.042,-0.11,0.969
5.234,0.047,-0.214,0.961
5.484,0.061,-0.327,0.959
5.484,0.073,-0.355,0.944
5.484,0.069,-0.362,0.943
5.703,0.062,-0.343,0.944
5.703,0.064,-0.329,0.942
