0,0.054,0.093,0.998
0,0.072,0.081,1.004
0,0.069,0.105,0.999
0.25,0.06,0.118,1.001
0.25,0.062,0.158,0.995
0.25,0.067,0.228,0.983
0.484,0.057,0.126,0.983
0.484,0.038,-0.009,0.979
0.484,0.026,-0.115,0.969
0.719,0.037,-0.171,0.937
0.719,0.036,-0.27,0.891
0.719,0.042,-0.467,0.854
0.953,0.023,-0.595,0.814
0.953,-0.002,-0.667,0.779
0.953,-0.006,-0.715,0.753
1.203,-0.017,-0.703,0.729
1.203,-0.017,-0.68,0.726
1.203,-0.007,-0.663,0.729
1.438,-0.006,-0.666,0.735
1.438,-0.007,-0.691,0.744
1.438,-0.01,-0.72,0.775
1.672,-0.009,-0.664,0.807
1.672,0.003,-0.527,0.844
1.672,0.01,-0.324,0.88
1.906,0.019,-0.124,0.92
1.906,0.077,0.085,0.94
1.906,0.108,0.261,0.952
2.156,0.09,0.276,0.951
2.156,0.111,0.351,0.938
2.156,0.122,0.466,0.934
2.375,0.114,0.42,0.947
2.375,0.096,0.338,0.955
2.375,0.078,0.329,0.962
