StartTime: 2023-09-19 09:57:27.601
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 09:57:27.601	-0.1826	0.0679	0.9839	0.0610	0.0610	0.2441	-1.2744	-3.9880	91.5326	32.66	3486	-349	-4045
0x50	 09:57:27.671	-0.1792	0.0684	0.9819	0.0000	-1.0986	-0.1831	-1.2689	-4.0210	91.5820	32.72	3490	-357	-4030
0x50	 09:57:27.770	-0.1714	0.0669	0.9863	0.0610	-1.6479	0.0610	-1.2744	-4.1418	91.5710	32.68	3486	-349	-4057
0x50	 09:57:27.882	-0.1602	0.0679	0.9863	0.0000	0.0000	1.0376	-1.2360	-4.2517	91.5491	32.67	3472	-336	-4027
0x50	 09:57:27.970	-0.1172	0.0825	0.9756	-0.1831	7.2632	0.3052	-1.1700	-4.1199	91.5710	32.67	3481	-349	-4037
0x50	 09:57:28.099	-0.1138	0.0986	0.9561	-3.9063	33.7524	-1.7090	-1.2579	-2.5159	91.5710	32.69	3553	-345	-4047
0x50	 09:57:28.169	-0.1987	0.0684	0.9150	-9.6436	61.4624	-3.4180	-1.8292	1.7139	91.4832	32.67	3766	-335	-3993
0x50	 09:57:28.269	-0.3735	0.0352	0.8696	-14.2212	80.0781	-5.0049	-2.9608	8.3441	91.3293	32.70	4108	-291	-3913
0x50	 09:57:28.369	-0.5020	0.0327	0.8076	-9.2163	85.8154	-0.8545	-3.9276	16.1279	91.2360	32.68	4552	-234	-3787
0x50	 09:57:28.486	-0.6318	0.0269	0.7222	-11.4746	85.3271	3.4180	-4.7351	24.1864	91.4282	32.64	4977	-211	-3592
0x50	 09:57:28.568	-0.7695	-0.0112	0.6304	-7.7515	84.8999	3.2349	-5.3503	32.3547	92.1039	32.66	5361	-207	-3313
0x50	 09:57:28.706	-0.9185	-0.0254	0.5674	-0.1831	59.5703	2.3193	-5.5371	39.1223	92.7411	32.68	5672	-232	-3007
0x50	 09:57:28.768	-0.9712	0.0054	0.5195	4.2725	35.7666	4.8218	-4.1968	43.5443	95.0098	32.72	5860	-302	-2764
0x50	 09:57:28.867	-1.0029	0.0239	0.4727	-0.1831	15.0146	6.1646	-3.0322	45.7910	97.3004	32.67	5937	-350	-2594
0x50	 09:57:28.966	-1.0049	0.0186	0.4619	-1.4648	-6.2866	5.1270	-1.9830	46.2634	100.1019	32.66	5936	-379	-2540
0x50	 09:57:29.090	-0.9419	0.0303	0.4854	4.3335	-24.6582	-2.0752	-1.8402	44.8407	102.2058	32.69	5878	-412	-2573
0x50	 09:57:29.166	-0.8779	0.0278	0.5337	5.5542	-36.6821	-4.7607	-2.4335	41.9623	102.6068	32.68	5813	-394	-2704
0x50	 09:57:29.266	-0.8262	0.0239	0.5986	6.5918	-45.0439	-0.9766	-2.6971	38.1885	102.3981	32.68	5688	-393	-2856
0x50	 09:57:29.366	-0.7695	0.0278	0.6665	8.4839	-53.5889	-0.3662	-2.1149	33.5632	102.6672	32.70	5508	-388	-3045
0x50	 09:57:29.465	-0.6953	0.0371	0.7222	7.7515	-57.4341	-1.0986	-1.8951	28.3612	102.1179	32.70	5280	-402	-3233
0x50	 09:57:29.565	-0.5825	0.0400	0.7744	5.9814	-52.9175	-3.7231	-1.7963	23.1042	101.2555	32.69	5042	-406	-3427
0x50	 09:57:29.680	-0.5000	0.0498	0.8218	2.8687	-39.1846	-1.8921	-1.6809	18.8306	100.4865	32.68	4831	-402	-3542
0x50	 09:57:29.764	-0.5088	0.0479	0.8765	3.4180	-41.6260	-3.8452	-1.5546	15.1886	99.6954	32.71	4644	-410	-3651
0x50	 09:57:29.898	-0.3989	0.0625	0.8965	1.2207	-45.4102	-7.6294	-1.7194	10.9259	98.4924	32.72	4443	-403	-3750
0x50	 09:57:29.963	-0.3071	0.0513	0.9185	0.2441	-33.8135	-8.0566	-2.1259	7.0862	96.9269	32.71	4278	-368	-3852
0x50	 09:57:30.063	-0.2661	0.0498	0.9370	3.2349	-21.7896	-4.5776	-2.2192	4.3506	95.8777	32.70	4136	-362	-3913
0x50	 09:57:30.163	-0.2637	0.0508	0.9624	4.1504	-17.7612	-2.4414	-1.9226	2.4445	95.2515	32.73	4036	-354	-3931
0x50	 09:57:30.289	-0.2437	0.0596	0.9751	2.0142	-17.5171	-1.5869	-1.6534	0.7251	94.8615	32.70	3951	-364	-3937
0x50	 09:57:30.362	-0.2056	0.0601	0.9741	2.9907	-17.9443	-3.2959	-1.4941	-1.0272	94.3835	32.72	3844	-365	-3960
0x50	 09:57:30.462	-0.1519	0.0737	0.9717	1.0986	-14.4653	-2.5635	-1.4172	-2.6312	93.8672	32.71	3780	-367	-4017
0x50	 09:57:30.561	-0.1362	0.0688	0.9761	0.1831	-6.8970	-0.7935	-1.4941	-3.5980	93.6145	32.74	3715	-347	-4013
0x50	 09:57:30.661	-0.1533	0.0728	0.9927	-2.9297	1.0376	1.4648	-1.6040	-3.8013	93.4991	32.72	3691	-336	-4028
0x50	 09:57:30.761	-0.1709	0.0684	0.9878	-0.6714	0.5493	3.1128	-1.6534	-3.8562	93.5376	32.73	3686	-327	-4035
0x50	 09:57:30.860	-0.1563	0.0581	0.9883	-1.8311	-2.1973	1.8311	-1.7578	-3.9880	93.6365	32.73	3689	-331	-4047
0x50	 09:57:30.960	-0.1567	0.0518	0.9873	0.0610	-3.8452	3.1128	-1.8073	-4.3121	93.7408	32.72	3663	-329	-4025
0x50	 09:57:31.060	-0.1470	0.0664	0.9873	-0.3662	-0.4272	3.2349	-1.6919	-4.5593	93.9496	32.73	3628	-314	-4047
0x50	 09:57:31.160	-0.1440	0.0557	0.9893	0.1831	0.0000	2.2583	-1.6644	-4.6527	94.0375	32.75	3620	-323	-4054
