StartTime: 2023-09-19 10:04:59.575
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 10:04:59.575	-0.1177	-0.0342	0.9893	0.0000	1.4648	0.4272	-6.9708	-7.5146	61.1060	33.02	6614	3474	-2747
0x50	 10:04:59.675	-0.1270	-0.0308	0.9937	-0.6714	2.0752	1.4038	-6.9543	-7.3224	61.1993	33.05	6626	3474	-2741
0x50	 10:04:59.814	-0.1182	-0.0215	0.9863	0.3052	2.9907	2.5024	-6.8994	-7.1191	61.3696	33.01	6649	3478	-2713
0x50	 10:04:59.930	-0.1108	-0.0005	0.9819	-2.8687	6.4697	2.8076	-6.9708	-6.6852	61.6388	33.01	6640	3449	-2699
0x50	 10:04:59.974	-0.0771	0.0098	0.9551	-16.2964	28.3813	9.0942	-7.7509	-5.0537	62.2211	33.03	6703	3427	-2601
0x50	 10:05:00.073	-0.1904	-0.0210	0.9189	-29.2358	53.1006	22.5220	-9.7284	-0.7471	63.8635	33.01	6828	3381	-2303
0x50	 10:05:00.173	-0.3452	-0.0386	0.8530	-51.3306	66.5894	44.0674	-12.5189	5.2295	66.5497	33.04	6964	3279	-1891
0x50	 10:05:00.273	-0.5073	-0.1533	0.7886	-60.2417	61.6455	56.8848	-16.0455	11.7279	70.9167	33.02	7121	3000	-1385
0x50	 10:05:00.373	-0.5469	-0.2002	0.7378	-54.9927	35.7056	63.9648	-18.8745	17.2650	76.2396	33.04	7193	2622	-975
0x50	 10:05:00.472	-0.6733	-0.1802	0.7056	-44.4336	39.0625	63.0493	-19.7095	22.5769	82.1722	33.03	7214	2163	-631
0x50	 10:05:00.572	-0.7959	-0.2339	0.6934	-48.2788	25.2075	43.0908	-20.6708	27.3010	87.6105	33.03	7159	1683	-397
0x50	 10:05:00.672	-0.7861	-0.3008	0.6401	-37.4756	2.4414	20.2026	-22.7362	29.4763	90.0879	33.04	7101	1355	-278
0x50	 10:05:00.771	-0.7480	-0.3154	0.6494	-17.4561	-2.0142	7.9346	-24.3292	29.8608	90.9174	33.06	7068	1198	-301
0x50	 10:05:00.871	-0.7822	-0.3257	0.7310	-1.5869	-3.4790	3.3569	-24.1479	29.7015	91.3458	33.02	7044	1115	-325
0x50	 10:05:00.971	-0.8691	-0.3130	0.7979	17.0288	0.1221	-5.3711	-24.0491	29.7729	90.5054	33.03	7042	1092	-326
0x50	 10:05:01.070	-0.8364	-0.2368	0.7710	26.6113	-16.1743	-7.3242	-21.9781	28.9270	89.6814	33.04	7032	1105	-357
0x50	 10:05:01.170	-0.7881	-0.1992	0.6440	46.8750	-34.4238	-15.0146	-18.9130	26.5704	88.7256	33.05	7061	1192	-496
0x50	 10:05:01.325	-0.6172	-0.0366	0.6055	63.2324	-86.1816	-41.1987	-14.5459	20.6213	85.8636	33.06	7087	1345	-805
0x50	 10:05:01.369	-0.3828	-0.0098	0.7617	44.1284	-85.9985	-30.2734	-10.7281	11.3873	82.3810	33.05	7083	1561	-1369
0x50	 10:05:01.485	-0.2886	0.0508	0.9243	43.3350	-79.5288	-38.6353	-7.8387	3.6200	78.2336	33.02	6993	1764	-1934
0x50	 10:05:01.568	-0.1133	0.0596	0.9038	41.3818	-86.4258	1.9531	-3.8123	-4.1034	76.2836	33.05	6830	1833	-2484
0x50	 10:05:01.668	0.0039	0.1797	0.9370	30.9448	-65.9180	-10.6201	0.3186	-11.3214	74.9048	33.01	6596	1729	-2966
0x50	 10:05:01.767	0.1265	0.1870	0.9492	12.6953	-39.7339	-5.8594	2.5763	-16.3971	73.1744	33.02	6343	1673	-3272
0x50	 10:05:01.867	0.1641	0.1738	0.9619	-11.6577	-8.8501	-20.3247	2.6971	-18.7482	71.6254	33.02	6215	1703	-3482
0x50	 10:05:01.967	0.1484	0.1509	0.9863	-1.3428	-0.3662	-26.7334	2.5269	-19.0668	69.2194	33.02	6203	1842	-3554
0x50	 10:05:02.074	0.1963	0.2041	1.0034	-10.8032	0.3662	-3.0518	2.3401	-19.2151	67.7362	33.01	6205	1971	-3532
0x50	 10:05:02.166	0.1543	0.1104	0.9702	-1.3428	5.1880	-10.0708	1.8896	-18.9569	66.7749	33.04	6224	2084	-3538
0x50	 10:05:02.293	0.0542	0.0991	0.9961	-11.7188	18.7988	-4.1504	1.3019	-17.8638	66.7090	33.03	6265	2122	-3516
0x50	 10:05:02.365	0.0518	0.1201	0.9902	-6.2256	17.1509	-20.4468	0.5109	-16.1664	65.6049	33.06	6316	2229	-3418
0x50	 10:05:02.465	0.0854	0.0596	0.9785	4.3335	20.2026	-19.9585	0.2856	-14.8096	65.1709	33.05	6392	2319	-3346
0x50	 10:05:02.564	-0.0273	0.1191	0.9990	-6.1035	24.0479	-13.0005	-0.4449	-12.2772	62.7979	33.05	6513	2489	-3219
0x50	 10:05:02.673	-0.0537	0.0361	1.0005	0.0610	14.0381	-12.5122	-0.7196	-10.6732	62.7814	33.04	6574	2570	-3080
0x50	 10:05:02.764	-0.0503	0.0586	0.9893	-15.5640	14.0381	1.0986	-1.9666	-9.1571	62.4023	33.04	6629	2666	-2977
0x50	 10:05:02.886	-0.1416	0.0142	0.9976	-3.9673	10.8643	3.7231	-2.5433	-7.7618	62.8967	33.04	6679	2682	-2882
0x50	 10:05:02.963	-0.1440	0.0356	0.9951	-7.8735	0.6714	2.4414	-3.0377	-7.2565	62.8802	33.04	6712	2725	-2841
