StartTime: 2023-09-19 14:25:17.135
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:25:17.135	-0.0107	-0.0010	1.0005	0.1831	-0.0610	0.0610	-5.4163	-13.9252	23.7360	31.66	2438	4998	-6067
0x50	 14:25:17.235	-0.0088	0.0000	0.9995	0.0000	0.0610	0.3662	-5.3723	-13.9087	23.8623	31.64	2428	4997	-6052
0x50	 14:25:17.335	-0.0093	0.0015	0.9990	1.0376	0.2441	0.2441	-5.3394	-13.8867	23.9996	31.64	2422	4992	-6060
0x50	 14:25:17.434	-0.0151	-0.0005	0.9990	0.2441	0.2441	0.5493	-5.2789	-13.8428	24.1095	31.61	2435	4977	-6061
0x50	 14:25:17.534	-0.0078	-0.0005	1.0010	0.2441	-0.0610	-0.2441	-5.2405	-13.8483	24.1754	31.67	2439	4971	-6047
0x50	 14:25:17.634	-0.0078	0.0024	0.9995	0.0610	0.3662	-0.0610	-5.1910	-13.8373	24.2523	31.68	2441	4974	-6041
0x50	 14:25:17.733	-0.0103	0.0054	1.0005	0.0000	-0.0610	-0.1831	-5.1636	-13.8263	24.3127	31.67	2437	4975	-6033
0x50	 14:25:17.833	-0.0093	-0.0015	1.0029	0.7935	0.1831	1.7090	-5.1196	-13.8263	24.4281	31.68	2447	4973	-6081
0x50	 14:25:17.932	-0.0532	-0.0190	1.0034	-6.3477	-9.1553	33.5693	-5.3339	-14.0515	25.5597	31.64	2478	4965	-6058
0x50	 14:25:18.032	-0.0005	-0.0010	0.9922	18.2495	-16.9678	116.5771	-4.9548	-15.3314	32.1899	31.71	2589	4997	-6068
0x50	 14:25:18.132	0.0811	0.0249	0.9883	26.2451	-3.4180	122.4365	-2.8510	-16.5179	44.5221	31.71	2968	4821	-6164
0x50	 14:25:18.232	0.0444	0.0586	1.0078	10.8032	-7.5684	95.2148	-1.7084	-17.3804	54.4098	31.64	3360	4563	-6243
0x50	 14:25:18.331	0.0767	0.0449	0.9937	9.4604	-5.7983	88.8062	-1.3843	-18.6163	62.2485	31.65	3659	4347	-6282
0x50	 14:25:18.430	0.1230	0.0908	0.9907	19.8364	-1.8311	79.1626	-0.7361	-19.6490	69.2578	31.71	3880	4100	-6355
0x50	 14:25:18.531	0.1279	0.1138	0.9951	1.6479	10.9863	47.3633	-0.1648	-19.4678	73.3392	31.67	4089	3833	-6364
0x50	 14:25:18.630	0.0737	0.1064	0.9854	1.9531	11.1084	32.5317	-0.5054	-18.7097	75.6409	31.67	4295	3710	-6318
0x50	 14:25:18.730	0.0283	0.1172	0.9946	3.6621	4.8828	19.6533	-0.2637	-18.2977	76.6187	31.66	4447	3603	-6279
0x50	 14:25:18.829	0.0630	0.1196	1.0039	-0.4272	-2.7466	14.5874	-0.0989	-18.3307	76.4703	31.70	4514	3540	-6306
0x50	 14:25:18.929	0.0791	0.1455	0.9810	3.9063	4.2114	2.3193	0.3516	-18.1714	75.6244	31.68	4563	3479	-6318
0x50	 14:25:19.029	0.0356	0.1431	0.9985	0.3662	2.8687	-1.8311	0.5219	-17.8033	74.2456	31.67	4583	3461	-6314
0x50	 14:25:19.128	0.0557	0.1333	0.9995	-0.7935	5.2490	-20.8740	0.6592	-17.3859	71.7133	31.71	4599	3468	-6293
0x50	 14:25:19.228	0.0532	0.1162	0.9795	-15.1978	11.3525	-76.0498	0.3351	-16.0950	65.8575	31.70	4594	3614	-6262
0x50	 14:25:19.328	0.0313	0.0439	1.0044	-19.1040	5.8594	-107.0557	-1.4832	-14.7217	55.5579	31.69	4470	4002	-6162
0x50	 14:25:19.429	-0.0107	0.0288	0.9966	-13.6719	5.9204	-98.5107	-2.9498	-13.6450	44.7638	31.70	4196	4419	-6131
