StartTime: 2023-09-19 14:24:13.064
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:24:13.064	-0.0156	0.0776	0.9995	-0.4883	0.4272	-0.5493	-1.0162	-12.8815	21.4783	29.91	2209	4583	-6235
0x50	 14:24:13.162	-0.0239	0.0728	0.9990	-0.8545	0.1831	-0.1221	-1.0162	-12.8375	21.5057	29.92	2209	4583	-6236
0x50	 14:24:13.261	-0.0342	0.0698	0.9985	-0.3052	0.7935	-0.9155	-1.0437	-12.7551	21.5002	29.95	2220	4586	-6231
0x50	 14:24:13.361	-0.0283	0.0742	1.0000	0.0000	0.2441	0.3052	-1.0382	-12.7277	21.5112	29.96	2220	4582	-6249
0x50	 14:24:13.461	-0.0264	0.0669	0.9985	-1.4038	0.0000	10.9253	-1.1591	-12.7332	22.0880	29.98	2236	4593	-6259
0x50	 14:24:13.560	-0.0674	0.0581	0.9951	8.5449	-14.8926	49.9268	-0.7800	-13.4088	24.9390	29.93	2274	4598	-6245
0x50	 14:24:13.660	0.0190	0.1230	0.9834	27.2217	-41.3208	102.2339	1.0602	-17.0508	32.3383	29.94	2296	4515	-6280
0x50	 14:24:13.763	0.2041	0.1299	0.9746	22.0337	-42.5415	113.4644	2.4554	-22.8021	42.3413	30.00	2287	4391	-6320
0x50	 14:24:13.859	0.2437	0.1167	0.9565	20.5688	-28.1982	85.2051	2.7466	-27.3285	50.7349	29.96	2258	4279	-6365
0x50	 14:24:13.968	0.2783	0.1387	0.9570	9.7046	-14.7095	54.6875	2.3840	-30.3827	56.5356	29.95	2247	4216	-6396
0x50	 14:24:14.058	0.2959	0.1328	0.9487	5.1270	-12.8174	21.8506	1.8018	-32.2064	58.8757	29.92	2237	4208	-6392
0x50	 14:24:14.169	0.3442	0.1221	0.9604	-0.2441	-3.0518	12.9395	1.8567	-33.0579	58.9307	29.98	2199	4188	-6392
0x50	 14:24:14.258	0.3457	0.1094	0.9209	-1.7090	1.5259	1.5259	1.6864	-33.0908	58.2056	30.00	2199	4192	-6406
0x50	 14:24:14.369	0.2983	0.1196	0.9297	-2.3804	2.8687	0.9766	1.3568	-32.9480	57.1454	30.00	2219	4227	-6420
0x50	 14:24:14.457	0.2930	0.1089	0.9468	1.2817	6.9580	-5.1880	1.3568	-32.4866	55.9644	29.95	2275	4235	-6414
0x50	 14:24:14.568	0.3276	0.0986	0.9624	-2.3804	25.5737	-59.2651	1.9775	-30.9650	52.8223	29.94	2322	4211	-6379
0x50	 14:24:14.656	0.1743	0.1631	0.9771	-3.6011	40.8936	-91.1255	3.2904	-26.4661	44.5441	30.00	2402	4199	-6412
0x50	 14:24:14.773	0.0928	0.1724	0.9668	-10.4370	40.3442	-106.2012	4.4055	-21.0718	35.0134	29.98	2513	4163	-6419
0x50	 14:24:14.856	0.0166	0.1211	0.9800	-30.3955	29.4800	-104.6753	2.7301	-16.2927	24.6204	30.03	2520	4265	-6372
0x50	 14:24:14.955	-0.0713	0.0630	0.9893	-20.6299	20.1416	-96.8628	0.1373	-12.7386	15.0238	29.99	2430	4445	-6297
0x50	 14:24:15.055	-0.0996	0.0405	0.9873	-10.5591	19.7754	-58.6548	-2.0050	-10.3436	7.9541	30.03	2303	4569	-6252
0x50	 14:24:15.154	-0.1196	0.0342	1.0024	-12.1460	11.9019	-24.6582	-3.1586	-8.5529	4.4879	30.01	2271	4631	-6216
0x50	 14:24:15.254	-0.0962	0.0278	0.9966	-0.7324	0.4272	-13.4277	-3.5486	-8.2617	3.9771	30.04	2237	4665	-6209
0x50	 14:24:15.353	-0.1040	0.0332	1.0020	5.6763	0.4272	4.8218	-3.1146	-8.2397	4.7791	30.02	2228	4633	-6228
0x50	 14:24:15.453	-0.1055	0.0508	0.9980	4.6997	-0.0610	8.9111	-2.2742	-8.3057	6.3611	30.05	2255	4577	-6225
0x50	 14:24:15.553	-0.1196	0.0396	0.9907	-0.9766	-2.9297	14.0991	-2.1423	-8.4869	8.2672	30.04	2279	4559	-6249
0x50	 14:24:15.653	-0.0923	0.0635	0.9883	4.8218	-1.2207	13.7329	-1.6040	-8.8055	10.1074	30.07	2307	4548	-6259
