StartTime: 2023-09-19 14:40:22.048
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:40:22.048	-0.4541	-0.0830	0.8979	1.6479	14.1602	-165.1611	-9.6460	11.3049	17.1936	33.02	5580	4967	-4648
0x50	 14:40:22.145	-0.4385	-0.1206	0.9043	13.4277	10.5591	-114.1357	-15.7434	10.7007	2.0160	33.05	4920	5560	-4591
0x50	 14:40:22.243	-0.3872	-0.1104	0.9204	22.7661	-2.7466	-50.0488	-17.0013	9.5306	-5.0372	33.03	4396	5794	-4653
0x50	 14:40:22.343	-0.3657	-0.1431	0.9063	8.3618	-0.1831	-10.9253	-15.8588	8.9044	-5.7843	33.02	4155	5773	-4763
0x50	 14:40:22.443	-0.3618	-0.0996	0.9136	0.0000	-1.5869	20.9351	-15.1172	8.9319	-3.7793	33.02	4131	5740	-4828
0x50	 14:40:22.542	-0.3828	-0.0674	0.9194	-10.3149	-6.5918	106.2012	-12.8210	9.5087	4.7461	33.03	4365	5636	-4819
0x50	 14:40:22.641	-0.4033	-0.0610	0.9087	-22.7051	-6.8359	121.1548	-9.4153	9.9097	18.5175	33.03	4883	5417	-4760
0x50	 14:40:22.741	-0.4131	-0.0796	0.9063	-11.2915	-1.8921	90.0879	-6.5808	10.0305	30.3607	33.04	5410	5072	-4702
0x50	 14:40:22.841	-0.4189	-0.0488	0.9243	5.3101	1.0986	51.9409	-4.0100	10.0909	37.8534	33.02	5761	4747	-4665
0x50	 14:40:22.941	-0.4180	0.0400	0.9092	5.4321	-0.7324	42.7246	-1.4777	9.8492	42.5885	33.04	5960	4441	-4738
0x50	 14:40:23.040	-0.4233	0.0796	0.9048	-0.1831	2.5024	30.5176	0.1099	9.7339	45.8789	33.06	6088	4210	-4737
0x50	 14:40:23.140	-0.4282	0.0728	0.9092	-4.8828	4.2114	16.2354	0.4834	10.0250	47.9114	33.05	6199	4083	-4686
0x50	 14:40:23.248	-0.4189	0.0771	0.9072	-0.6714	1.6479	10.4370	0.5878	10.2667	48.8837	33.02	6269	4008	-4677
0x50	 14:40:23.339	-0.4307	0.0898	0.9136	-0.6104	1.3428	2.3193	0.5713	10.4205	48.9551	33.03	6294	3974	-4658
0x50	 14:40:23.439	-0.4238	0.0918	0.9067	-1.2817	0.6714	-3.5400	0.5988	10.5139	48.5706	33.05	6308	3960	-4638
0x50	 14:40:23.538	-0.4160	0.0918	0.9019	1.9531	2.1973	-3.4180	0.6207	10.6458	47.9608	33.05	6312	3966	-4628
0x50	 14:40:23.638	-0.4287	0.0986	0.9058	0.4272	3.4180	-4.5166	0.5548	10.9808	47.2192	33.03	6315	3985	-4620
0x50	 14:40:23.738	-0.4365	0.0884	0.8979	-0.3052	2.8076	-3.5400	0.3625	11.3159	46.4502	33.07	6327	3993	-4622
0x50	 14:40:23.840	-0.4414	0.0811	0.8931	-0.6104	2.6855	-1.4648	0.2417	11.5961	45.8459	33.03	6341	4034	-4578
0x50	 14:40:23.937	-0.4492	0.0830	0.8931	0.3052	2.8687	-1.4648	0.1813	11.9147	45.4340	33.04	6352	4044	-4576
0x50	 14:40:24.063	-0.4565	0.0859	0.8916	-0.5493	2.1973	-0.8545	0.1538	12.1619	45.0659	33.05	6359	4055	-4547
0x50	 14:40:24.136	-0.4561	0.0791	0.8916	-2.8076	3.0518	-1.2817	0.0220	12.4091	44.7253	33.06	6368	4064	-4533
0x50	 14:40:24.236	-0.4673	0.0674	0.8911	-0.1221	0.8545	-0.9766	-0.1373	12.6398	44.3903	33.05	6390	4085	-4525
0x50	 14:40:24.335	-0.4639	0.0742	0.8872	-0.5493	0.6714	-1.0376	-0.2362	12.7386	44.0387	33.04	6382	4092	-4520
0x50	 14:40:24.456	-0.4648	0.0659	0.8853	-0.3052	0.1831	-0.1831	-0.3021	12.7716	43.7421	33.04	6372	4090	-4507
