StartTime: 2023-09-19 14:35:12.759
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:35:12.759	-0.1001	-0.1353	1.0034	9.8267	12.2681	12.8174	-5.3009	-13.1946	23.3350	32.50	2544	5023	-6046
0x50	 14:35:12.856	-0.0615	-0.0054	1.0093	21.4233	-8.9722	13.3667	-3.7628	-12.9419	25.0323	32.55	2651	4928	-6111
0x50	 14:35:12.956	-0.0127	0.1670	0.9995	9.7656	-9.6436	18.9209	-2.0325	-13.8812	26.3452	32.54	2647	4768	-6198
0x50	 14:35:13.056	0.0137	0.1265	1.0239	-7.6904	-7.6904	23.9868	-1.8292	-14.7821	28.5864	32.56	2652	4733	-6229
0x50	 14:35:13.155	0.0732	0.0503	0.9922	-13.3057	-17.1509	0.6104	-2.5928	-16.0400	29.6576	32.53	2626	4786	-6188
0x50	 14:35:13.255	0.1167	0.0010	0.9800	-15.3809	-4.0283	-8.6670	-4.0485	-17.2430	29.1302	32.57	2520	4893	-6118
0x50	 14:35:13.354	0.0518	-0.0566	0.9834	-8.6670	7.8735	2.7466	-5.1855	-17.1497	28.8501	32.53	2487	5018	-6077
0x50	 14:35:13.454	0.0059	-0.0156	0.9932	0.9155	13.2446	6.7139	-5.5426	-16.1444	29.4104	32.55	2563	5064	-6022
0x50	 14:35:13.554	-0.0142	-0.0093	1.0063	0.2441	9.8267	2.5635	-5.5316	-15.0018	29.8773	32.57	2688	5063	-6028
0x50	 14:35:13.653	-0.0283	-0.0254	1.0073	-7.9956	5.1880	-9.8877	-6.0590	-14.2987	29.3390	32.56	2758	5087	-6028
0x50	 14:35:13.753	0.0566	0.0239	0.9771	-14.8315	-9.4604	-46.6919	-6.8719	-14.5679	26.9330	32.56	2679	5142	-5999
0x50	 14:35:13.859	0.1626	-0.1406	0.9639	-41.6260	0.0000	-133.6060	-9.6844	-15.9796	17.2375	32.55	2244	5282	-5885
0x50	 14:35:13.952	0.0610	-0.2158	0.9761	-30.4565	22.0947	-127.4414	-13.0078	-16.4410	4.2847	32.54	1614	5400	-5668
0x50	 14:35:14.075	-0.0303	-0.2085	0.9966	2.3193	35.8276	-68.1152	-14.0131	-14.5734	-3.6694	32.55	1306	5315	-5626
0x50	 14:35:14.152	-0.0723	-0.1284	0.9990	12.6953	19.6533	-44.7388	-13.0298	-12.7496	-8.1409	32.59	1203	5107	-5710
0x50	 14:35:14.250	-0.1099	-0.0820	0.9941	9.1553	7.6294	-29.4800	-12.3102	-11.8378	-10.6677	32.57	1139	4894	-5814
0x50	 14:35:14.351	-0.0610	-0.0654	0.9937	3.7231	-2.0752	-7.9346	-11.7664	-11.8927	-11.2994	32.59	1072	4766	-5857
0x50	 14:35:14.450	-0.0044	-0.0723	0.9912	4.5776	-3.7231	3.4180	-11.2994	-12.1234	-10.2063	32.56	1025	4709	-5863
0x50	 14:35:14.550	-0.1104	-0.1040	1.0259	4.6387	-5.6152	29.0527	-10.6897	-12.3212	-7.8223	32.57	1033	4682	-5895
0x50	 14:35:14.663	-0.1597	-0.0420	1.0083	32.5928	-23.1323	155.0903	-9.2505	-12.4640	1.4557	32.57	1197	4772	-5908
0x50	 14:35:14.749	0.0752	-0.0381	0.9854	35.7056	-29.7241	172.1191	-4.8230	-14.6393	19.0448	32.57	1639	4820	-6030
0x50	 14:35:14.882	0.1206	0.0117	0.9775	22.8271	-17.8223	133.6670	-2.9883	-17.3804	34.2993	32.58	2072	4798	-6112
0x50	 14:35:14.953	0.1631	0.0566	0.9775	17.7612	-16.6626	80.8716	-1.9171	-19.2810	44.3188	32.58	2427	4716	-6217
