StartTime: 2023-09-19 13:58:15.670
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 13:58:15.670	0.3496	0.0869	0.7192	-49.3164	-178.2837	11.5967	3.1256	-10.2502	7.8772	33.87	3960	4310	-6069
0x50	 13:58:15.773	0.4927	-0.0283	0.8662	-18.1274	-70.8618	8.3618	-0.1154	-21.4178	8.9648	33.89	2678	4655	-6134
0x50	 13:58:15.869	0.3901	-0.0200	0.9326	1.0986	-15.9912	-5.3711	-1.1865	-25.7025	10.4425	33.90	2127	4802	-6059
0x50	 13:58:15.975	0.3135	0.0171	0.9648	0.1221	9.0942	0.6104	-1.3129	-26.6473	11.8158	33.88	1993	4826	-6048
0x50	 13:58:16.068	0.2295	0.0371	0.9741	-1.5259	11.1084	1.1597	-1.3623	-25.9607	13.5626	33.86	2051	4832	-6071
0x50	 13:58:16.176	0.2544	0.0039	0.9600	-0.4883	3.1738	3.7842	-1.7963	-25.7520	15.1337	33.88	2129	4846	-6062
0x50	 13:58:16.268	0.2554	0.0342	0.9663	1.5259	4.2725	2.1973	-1.6974	-25.8014	16.5289	33.91	2178	4848	-6081
0x50	 13:58:16.383	0.2324	0.0503	0.9731	5.4932	9.1553	3.2959	-1.3898	-25.3400	17.8967	33.91	2231	4822	-6064
0x50	 13:58:16.467	0.2061	0.0347	0.9834	0.6104	14.8315	4.6387	-1.3239	-24.2578	19.6490	33.87	2340	4805	-6110
0x50	 13:58:16.583	0.2080	0.0376	0.9761	0.0000	18.5547	-0.1221	-1.0822	-22.7472	20.5939	33.84	2503	4774	-6120
0x50	 13:58:16.666	0.1191	0.0313	0.9888	0.8545	14.5264	3.9673	-1.1646	-21.0388	21.8079	33.91	2674	4752	-6120
0x50	 13:58:16.784	0.1050	0.0430	0.9956	1.6479	11.5967	-0.4883	-1.2799	-19.9512	22.8241	33.91	2811	4759	-6139
0x50	 13:58:16.866	0.0889	0.0522	0.9946	3.6011	11.5967	3.2349	-1.0931	-18.9240	23.7689	33.88	2916	4735	-6127
0x50	 13:58:16.965	0.0684	0.0474	0.9946	6.0425	5.4321	1.3428	-0.6976	-18.1934	24.8181	33.90	3024	4706	-6153
0x50	 13:58:17.065	0.0811	0.0732	0.9980	6.1646	8.0566	-2.4414	-0.1208	-17.7484	25.4224	33.91	3075	4650	-6185
0x50	 13:58:17.165	0.0454	0.0791	0.9941	6.7749	10.7422	-1.9531	0.4834	-16.8256	25.9937	33.88	3156	4583	-6197
0x50	 13:58:17.264	0.0239	0.0854	1.0083	11.3525	-0.5493	-3.6011	1.2305	-16.2378	26.3123	33.90	3232	4514	-6200
0x50	 13:58:17.364	0.0981	0.1226	0.9829	5.9814	21.3013	-5.0659	2.0380	-15.3918	26.4056	33.89	3259	4431	-6239
0x50	 13:58:17.464	-0.0049	0.0903	0.9639	5.9814	48.8892	-2.0752	2.6312	-11.9421	27.1527	33.92	3510	4377	-6225
0x50	 13:58:17.565	-0.0200	0.1533	0.9351	11.1694	73.1812	-8.2397	3.6969	-6.7950	28.0756	33.91	3956	4309	-6179
0x50	 13:58:17.663	-0.2666	0.1265	0.8979	16.4795	95.0317	-10.4370	4.9713	1.1316	29.1467	33.91	4594	4221	-6020
0x50	 13:58:17.763	-0.4316	0.1553	0.8276	21.6675	102.8442	-0.7935	7.3883	10.5304	30.9375	33.92	5366	4106	-5730
0x50	 13:58:17.862	-0.5571	0.2441	0.7378	19.7754	86.7920	28.5645	11.3873	19.1876	35.5463	33.95	6150	3915	-5334
0x50	 13:58:17.962	-0.6699	0.2983	0.6221	24.2920	92.1021	16.1133	17.0178	26.8066	41.2207	33.96	6857	3655	-4835
0x50	 13:58:18.061	-0.9087	0.3721	0.5586	26.1841	77.2095	19.4092	24.9335	33.5138	48.0981	33.96	7450	3368	-4270
0x50	 13:58:18.174	-0.9404	0.4526	0.4795	5.2490	41.6870	10.3149	32.1240	37.2491	54.7394	33.95	7859	3097	-3792
