StartTime: 2023-09-19 14:04:46.764
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:04:46.764	0.3076	-0.7046	0.7500	-28.6865	-56.4575	4.6997	-38.0511	-24.3951	22.9999	34.92	1723	6694	-3517
0x50	 14:04:46.832	0.3467	-0.6880	0.7251	3.7842	-28.0151	7.3242	-40.1111	-27.3889	27.1967	34.95	1526	6822	-3229
0x50	 14:04:46.931	0.2832	-0.6836	0.7510	28.2593	-30.0293	1.6479	-39.5728	-29.5148	30.2618	34.90	1450	6831	-3226
0x50	 14:04:47.031	0.3809	-0.6621	0.7900	71.5942	-39.7949	2.0142	-36.2878	-32.9260	33.6237	34.91	1297	6704	-3359
0x50	 14:04:47.138	0.4268	-0.3516	0.7891	99.8535	-27.0386	-5.6152	-28.9600	-36.0626	36.4087	34.91	1129	6351	-3782
0x50	 14:04:47.230	0.4521	-0.1045	0.8125	55.0537	2.8076	-5.4932	-20.9125	-37.6666	36.6943	34.92	996	5830	-4251
0x50	 14:04:47.355	0.4331	-0.0938	0.8677	31.0059	19.1040	5.9814	-16.6718	-36.8097	36.7493	34.91	1028	5489	-4545
0x50	 14:04:47.430	0.4136	-0.1001	0.9180	19.8975	38.4521	8.3618	-14.0845	-34.1180	36.8811	34.94	1230	5305	-4768
0x50	 14:04:47.529	0.3721	-0.1006	0.9351	30.4565	91.1255	15.3198	-11.8542	-27.8009	37.4139	34.96	1672	5154	-4999
0x50	 14:04:47.629	0.0664	-0.0298	0.9126	30.3345	120.0562	-0.3052	-8.5693	-17.2046	37.1997	34.94	2467	4951	-5219
0x50	 14:04:47.742	-0.2397	0.0244	0.9653	15.8081	88.2568	5.4321	-6.3062	-7.2949	36.9031	34.96	3327	4734	-5309
0x50	 14:04:47.828	-0.3062	0.0562	0.9648	4.0894	42.8467	0.1221	-5.2899	-1.4117	37.1338	34.94	3924	4621	-5241
0x50	 14:04:47.965	-0.3379	0.0010	0.9561	1.0376	18.9209	-7.8735	-5.1910	1.4667	36.1176	34.96	4223	4610	-5185
0x50	 14:04:48.028	-0.3525	0.0049	0.9448	4.2114	11.9629	-8.5449	-5.0702	3.0597	35.0024	34.93	4340	4614	-5121
0x50	 14:04:48.127	-0.3545	-0.0049	0.9404	2.9297	7.8125	-4.2725	-4.7461	3.9990	33.9368	35.00	4387	4601	-5102
0x50	 14:04:48.226	-0.3779	-0.0005	0.9404	7.6904	7.2021	-5.1270	-4.4495	4.8615	33.0908	34.98	4436	4573	-5103
0x50	 14:04:48.345	-0.3760	0.0229	0.9316	6.7749	1.2817	-6.1035	-3.9276	5.3284	32.1185	34.93	4440	4539	-5142
0x50	 14:04:48.427	-0.3784	0.0225	0.9414	-1.1597	-5.7373	-9.8267	-3.9935	5.3009	30.8881	34.97	4435	4533	-5154
0x50	 14:04:48.525	-0.3428	0.0059	0.9414	2.5024	-9.0332	-7.0801	-4.2462	4.6802	29.6411	34.92	4342	4553	-5174
0x50	 14:04:48.625	-0.3218	0.0376	0.9463	12.2681	-4.5166	-1.4038	-3.4332	4.0649	28.9050	34.98	4267	4516	-5213
0x50	 14:04:48.725	-0.3149	0.0576	0.9521	7.1411	-3.2349	-3.9673	-2.2577	3.7958	28.4436	34.97	4214	4416	-5275
0x50	 14:04:48.845	-0.3076	0.0513	0.9644	7.6294	-3.9673	-4.8218	-1.8951	3.5321	28.1140	34.96	4176	4372	-5328
