StartTime: 2023-09-19 10:04:27.392
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 10:04:27.392	-0.0049	0.0635	0.9976	-0.9155	0.3662	-0.0610	-1.8951	-14.1394	72.1252	32.76	6466	1826	-3234
0x50	 10:04:27.515	-0.0034	0.0601	1.0015	0.0610	-0.1831	0.8545	-1.8951	-14.1229	72.1747	32.76	6455	1817	-3188
0x50	 10:04:27.591	-0.0029	0.0562	0.9985	0.0000	0.6104	0.8545	-1.9006	-14.1119	72.2955	32.73	6460	1817	-3214
0x50	 10:04:27.689	-0.0103	0.0620	0.9995	-0.0610	0.6714	-0.7935	-1.9116	-14.0570	72.3010	32.73	6456	1824	-3231
0x50	 10:04:27.790	-0.0107	0.0566	0.9995	-1.7700	0.3052	-0.7324	-2.0105	-13.9966	72.2571	32.76	6466	1831	-3211
0x50	 10:04:27.890	-0.0132	0.0522	0.9990	-0.5493	0.3052	-0.4883	-2.0929	-13.9307	72.2626	32.76	6472	1831	-3202
0x50	 10:04:27.989	0.0298	0.0654	0.9878	-2.0752	6.7749	-1.0376	-2.1533	-13.7274	72.2296	32.76	6471	1835	-3223
0x50	 10:04:28.089	0.1050	0.0688	0.9507	-5.7983	53.6499	-11.4746	-2.4939	-11.3928	71.9934	32.76	6532	1847	-3125
0x50	 10:04:28.189	-0.1108	0.0273	0.8853	-21.2402	115.8447	-17.8833	-4.0649	-3.6255	70.9332	32.79	6770	1984	-2676
0x50	 10:04:28.289	-0.4722	-0.0166	0.9058	-27.5269	89.5996	-21.8506	-6.7896	6.1084	68.7140	32.78	7030	2175	-2008
0x50	 10:04:28.388	-0.6982	-0.1333	0.9023	-11.1084	37.2314	4.6997	-9.1022	12.3926	67.8845	32.74	7168	2303	-1444
0x50	 10:04:28.488	-0.7524	-0.1421	0.9268	6.4697	-26.5503	2.1973	-9.0857	13.8757	68.4503	32.77	7201	2302	-1228
0x50	 10:04:28.587	-0.7744	-0.1221	0.9336	29.2358	-123.0469	11.2305	-7.0477	7.0038	69.3896	32.76	7147	2254	-1555
0x50	 10:04:28.689	-0.0869	0.0474	0.8755	33.8745	-123.6572	16.1743	-3.5101	-5.4932	70.8124	32.77	6891	2083	-2413
0x50	 10:04:28.786	0.1270	0.1055	0.9229	10.1929	-63.7207	-4.0283	-1.7029	-13.6285	70.9991	32.78	6560	1931	-3036
0x50	 10:04:28.886	0.1499	0.1001	0.9761	2.0142	-10.8032	-8.4839	-1.1810	-16.4905	70.0818	32.76	6392	1929	-3322
0x50	 10:04:28.986	0.0615	0.0742	0.9902	-4.5166	5.3101	-0.0610	-1.4447	-16.3971	69.6588	32.81	6367	1962	-3379
0x50	 10:04:29.085	0.0088	0.0659	1.0029	-0.3052	6.1646	5.3101	-1.4722	-15.8203	70.1752	32.82	6403	1954	-3327
0x50	 10:04:29.185	0.0029	0.0562	1.0073	2.9297	0.1831	1.7700	-1.4612	-15.5511	70.5762	32.78	6398	1937	-3314
0x50	 10:04:29.285	0.0342	0.0820	0.9951	0.1221	-7.0801	0.3052	-1.2689	-15.8752	70.6091	32.78	6408	1919	-3353
0x50	 10:04:29.389	0.0493	0.0752	1.0029	-0.1831	-3.9063	0.0610	-1.2085	-16.3641	70.7245	32.80	6373	1906	-3372
0x50	 10:04:29.485	0.0542	0.0684	0.9893	-0.6714	2.1362	0.3662	-1.3513	-16.4520	70.8398	32.76	6364	1920	-3378
0x50	 10:04:29.584	0.0327	0.0679	0.9995	-2.7466	3.2349	0.0610	-1.5875	-16.1884	70.9058	32.78	6382	1922	-3366
0x50	 10:04:29.683	0.0249	0.0620	1.0015	-1.4038	1.3428	0.0000	-1.7139	-15.9741	70.9607	32.79	6387	1916	-3356
0x50	 10:04:29.783	0.0342	0.0586	0.9976	-2.0752	1.4648	-1.4648	-1.8127	-15.9192	71.0101	32.82	6402	1929	-3352
0x50	 10:04:29.882	0.0186	0.0552	0.9990	-1.2207	1.0986	-1.4648	-1.9281	-15.7654	70.9387	32.78	6400	1951	-3322
0x50	 10:04:29.986	0.0210	0.0576	1.0010	-0.5493	0.5493	-0.3662	-1.9885	-15.6555	70.9003	32.78	6410	1954	-3324
0x50	 10:04:30.082	0.0073	0.0562	1.0005	-0.5493	0.9155	-1.5869	-1.9830	-15.5347	70.8508	32.78	6411	1945	-3308
0x50	 10:04:30.202	0.0034	0.0562	1.0034	0.4272	-0.6714	-1.4648	-1.9885	-15.4578	70.7794	32.77	6410	1954	-3330
