StartTime: 2023-09-19 09:56:10.251
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 09:56:10.251	-0.2041	0.0513	0.9775	-0.7935	-0.3662	-0.4883	-2.1533	-1.9006	88.1433	31.50	4518	-59	-3931
0x50	 09:56:10.342	-0.1855	0.0508	0.9756	-3.6011	1.6479	0.2441	-2.3730	-1.8951	88.0994	31.48	4526	-57	-3927
0x50	 09:56:10.469	-0.1445	0.0474	0.9482	-8.4839	16.4795	1.4648	-2.9883	-1.1426	88.1488	31.51	4551	-28	-3902
0x50	 09:56:10.541	-0.1841	0.0269	0.9355	-10.2539	44.5557	1.9531	-3.8947	1.8292	88.3575	31.50	4670	11	-3886
0x50	 09:56:10.641	-0.2598	0.0000	0.8687	-19.7144	77.5146	6.1035	-5.2954	7.6465	88.9178	31.50	4925	64	-3798
0x50	 09:56:10.741	-0.4668	-0.0220	0.7998	-12.2681	100.4028	5.7983	-6.4490	16.4246	89.2255	31.48	5319	102	-3530
0x50	 09:56:10.843	-0.6646	-0.0142	0.7261	-7.9956	87.0361	12.6343	-6.9928	25.3729	90.1208	31.51	5711	95	-3195
0x50	 09:56:10.940	-0.8486	-0.0215	0.6431	-7.2021	67.1387	-3.8452	-7.5531	32.7997	90.3790	31.52	6003	97	-2837
0x50	 09:56:11.064	-0.9482	-0.0449	0.5835	-7.2632	39.6729	-9.7046	-9.2505	37.9028	89.1870	31.52	6222	123	-2532
0x50	 09:56:11.139	-0.9165	-0.0854	0.5435	-5.0049	12.0850	-3.8452	-11.1017	40.1385	88.0719	31.49	6355	170	-2385
0x50	 09:56:11.239	-0.9067	-0.0903	0.5400	-1.2207	-3.4790	1.4038	-11.4862	40.6659	88.2697	31.48	6392	189	-2328
0x50	 09:56:11.339	-0.9346	-0.0703	0.5649	3.6621	-24.1089	1.0376	-11.0468	39.6497	89.0552	31.52	6379	179	-2386
0x50	 09:56:11.438	-0.8340	-0.0698	0.6001	4.7607	-38.2690	3.4790	-10.0140	36.8042	90.3790	31.52	6286	161	-2531
0x50	 09:56:11.538	-0.7432	-0.0532	0.6587	6.8359	-39.5508	7.1411	-8.5254	33.2062	92.0160	31.49	6149	115	-2712
0x50	 09:56:11.664	-0.6968	-0.0313	0.7144	7.4463	-40.2222	3.4180	-7.4377	29.5422	93.0542	31.52	5982	69	-2890
0x50	 09:56:11.737	-0.6582	-0.0166	0.7676	8.7280	-46.2646	0.4883	-6.4490	25.4883	93.4222	31.50	5811	58	-3075
0x50	 09:56:11.837	-0.5947	-0.0088	0.8159	10.1929	-55.4810	2.5024	-5.4492	20.6763	93.4882	31.50	5602	23	-3260
0x50	 09:56:11.936	-0.4912	0.0073	0.8667	13.1226	-68.2373	5.1270	-4.2517	14.8425	93.9496	31.51	5318	-26	-3468
0x50	 09:56:12.036	-0.3311	0.0430	0.9038	12.1460	-66.8335	7.5073	-2.8729	8.3551	94.3286	31.53	4953	-84	-3677
0x50	 09:56:12.136	-0.1963	0.0811	0.9414	7.8125	-55.6641	3.2959	-1.6754	2.3621	94.3396	31.52	4616	-150	-3834
0x50	 09:56:12.234	-0.1279	0.0864	0.9663	3.7231	-43.0908	0.1831	-1.1810	-2.4829	93.8342	31.54	4307	-171	-3940
0x50	 09:56:12.335	-0.0864	0.0835	0.9854	0.3662	-36.0107	-0.9766	-1.0767	-6.3116	93.0707	31.52	4076	-186	-4027
0x50	 09:56:12.435	-0.0156	0.0835	0.9805	-2.5635	-21.6064	2.1362	-1.0327	-9.0747	92.8235	31.52	3896	-191	-4079
0x50	 09:56:12.534	-0.0024	0.0693	0.9980	-0.4272	-12.6953	2.7466	-1.2085	-10.7886	92.5433	31.52	3781	-188	-4122
0x50	 09:56:12.634	0.0112	0.0811	0.9985	-1.9531	-8.0566	2.3193	-1.2964	-11.8817	92.3950	31.52	3709	-179	-4140
0x50	 09:56:12.734	0.0083	0.0698	0.9980	-0.8545	1.2207	1.1597	-1.4063	-12.1838	92.3126	31.54	3662	-169	-4140
0x50	 09:56:12.833	-0.0171	0.0615	1.0015	-2.1362	5.6152	-1.2207	-1.6370	-11.8213	92.0599	31.52	3678	-152	-4175
0x50	 09:56:12.932	-0.0439	0.0537	0.9990	-0.9766	7.2632	-2.4414	-1.7413	-11.2720	91.7194	31.53	3717	-151	-4162
0x50	 09:56:13.032	-0.0459	0.0527	1.0005	-0.7324	3.4180	-1.1597	-1.8237	-10.8820	91.4667	31.51	3747	-148	-4166
0x50	 09:56:13.132	-0.0498	0.0537	0.9961	-0.3662	3.7231	-0.7324	-1.8402	-10.5029	91.2469	31.52	3780	-137	-4172
0x50	 09:56:13.234	-0.0605	0.0596	0.9941	-0.5493	5.3711	-1.5259	-1.8677	-10.0964	90.9943	31.52	3822	-143	-4131
0x50	 09:56:13.331	-0.0693	0.0576	0.9990	-1.2817	3.8452	-0.2441	-1.9501	-9.7394	90.7471	31.52	3842	-131	-4126
0x50	 09:56:13.433	-0.0718	0.0547	1.0000	-0.6104	1.4648	0.9155	-2.0105	-9.5416	90.6372	31.52	3865	-129	-4132
