StartTime: 2023-09-19 14:23:57.134
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:23:57.134	0.0830	0.1323	0.9902	0.1221	-0.3662	0.0610	2.2522	-19.4678	24.5709	29.25	1864	4326	-6306
0x50	 14:23:57.218	0.0874	0.1309	0.9893	0.2441	-0.3662	-0.4272	2.2632	-19.5117	24.5819	29.25	1874	4315	-6299
0x50	 14:23:57.317	0.0903	0.1323	0.9897	-0.2441	-0.3662	0.2441	2.2577	-19.5392	24.5764	29.28	1868	4315	-6322
0x50	 14:23:57.418	0.0869	0.1313	0.9893	-0.4883	-0.3662	-0.0610	2.2522	-19.5447	24.5929	29.27	1879	4311	-6334
0x50	 14:23:57.517	0.0903	0.1323	0.9902	0.3052	0.0000	-0.3662	2.2742	-19.5776	24.5819	29.25	1863	4333	-6314
0x50	 14:23:57.616	0.0947	0.1279	0.9907	-0.4272	-1.0376	0.4883	2.2687	-19.6161	24.6149	29.31	1868	4322	-6320
0x50	 14:23:57.715	0.0928	0.1274	0.9893	0.5493	0.0610	0.4272	2.2687	-19.6490	24.6698	29.29	1855	4313	-6300
0x50	 14:23:57.815	0.0972	0.1260	0.9893	2.9907	0.2441	12.3291	2.2028	-19.6930	25.2686	29.29	1877	4330	-6319
0x50	 14:23:57.915	0.1216	0.1436	0.9819	5.4321	4.8828	42.5415	2.4280	-19.7369	27.6965	29.28	1972	4328	-6329
0x50	 14:23:58.015	0.1396	0.1465	0.9858	9.2163	8.6060	91.3696	2.4939	-19.9182	33.9697	29.27	2191	4330	-6367
0x50	 14:23:58.118	0.1108	0.1514	0.9902	9.2773	8.7891	117.8589	2.3950	-20.3082	44.0552	29.29	2570	4315	-6402
0x50	 14:23:58.214	0.1143	0.1265	0.9785	17.7612	16.9067	119.0796	2.3785	-20.8026	55.5139	29.30	3049	4208	-6424
0x50	 14:23:58.317	0.0581	0.1597	0.9966	13.7939	17.4561	67.9321	2.9773	-20.0061	62.9242	29.33	3511	3997	-6457
0x50	 14:23:58.414	0.0093	0.1777	1.0034	4.5776	10.3760	23.8037	3.3893	-19.1711	65.8575	29.33	3801	3817	-6466
0x50	 14:23:58.517	0.0459	0.1792	0.9810	2.8687	5.7373	14.2822	3.8342	-18.5339	65.9839	29.30	3963	3716	-6419
0x50	 14:23:58.613	0.0171	0.2026	0.9946	-1.2817	2.6855	-2.0752	3.9935	-18.1110	65.0171	29.31	4052	3666	-6423
0x50	 14:23:58.719	-0.0024	0.1987	0.9946	-9.6436	-6.4087	-67.1387	3.7463	-17.7484	60.6335	29.29	3988	3742	-6416
0x50	 14:23:58.811	0.0356	0.1270	0.9863	-14.7705	-20.4468	-135.9863	3.3289	-17.5287	49.4110	29.33	3692	3966	-6418
0x50	 14:23:58.926	0.0742	0.1738	0.9746	-15.5640	-9.5825	-168.0908	2.4170	-16.9629	33.0579	29.32	3095	4251	-6394
0x50	 14:23:59.012	0.0684	0.0923	0.9868	-17.5781	5.5542	-143.9819	1.2250	-15.5017	18.6603	29.32	2524	4419	-6316
0x50	 14:23:59.127	0.0269	0.0977	1.0078	-21.6675	-4.0283	-85.4492	-0.7031	-14.3976	7.2894	29.31	2057	4502	-6242
0x50	 14:23:59.211	0.0112	0.0640	0.9956	-0.1221	1.5869	-24.1089	-1.3458	-14.3701	3.3453	29.32	1781	4501	-6173
0x50	 14:23:59.310	-0.0098	0.0684	0.9941	2.4414	1.1597	1.6479	-0.9723	-14.3701	3.5101	29.32	1701	4474	-6199
0x50	 14:23:59.410	-0.0317	0.0742	1.0000	1.5259	8.7891	-1.6479	-0.7581	-13.8483	4.5758	29.34	1715	4446	-6195
0x50	 14:23:59.510	-0.0049	0.0811	0.9980	-0.2441	2.6855	-0.9766	-0.8075	-13.3484	5.3998	29.34	1775	4430	-6234
0x50	 14:23:59.609	-0.0234	0.0669	1.0049	0.8545	4.6997	2.6245	-0.7635	-12.9803	6.3721	29.37	1813	4443	-6232
0x50	 14:23:59.709	-0.0273	0.0718	1.0015	0.6714	0.4272	2.1973	-0.6976	-12.7661	7.2620	29.35	1840	4430	-6228
0x50	 14:23:59.808	-0.0239	0.0776	0.9995	1.7700	-0.9766	5.1880	-0.5933	-12.8046	8.2397	29.40	1863	4411	-6237
0x50	 14:23:59.908	-0.0093	0.0830	0.9917	5.0049	0.1221	8.9722	-0.1099	-12.8705	9.5526	29.36	1880	4394	-6230
0x50	 14:24:00.008	-0.0327	0.0835	0.9956	-1.0376	1.0376	1.3428	0.0714	-12.8540	10.6128	29.37	1915	4364	-6265
0x50	 14:24:00.107	-0.0371	0.0796	0.9985	-5.1880	2.6245	3.2959	-0.3076	-12.7002	11.2225	29.39	1938	4390	-6258
0x50	 14:24:00.227	-0.0146	0.0884	0.9990	0.9766	-1.3428	3.7842	-0.5658	-12.6178	11.7114	29.39	1951	4441	-6216
