StartTime: 2023-09-19 14:36:23.797
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:36:23.797	0.0688	0.0410	0.9966	-2.3804	0.4272	0.0000	-2.9883	-18.7152	30.3882	33.64	2222	4825	-6154
0x50	 14:36:23.897	0.0708	0.0405	0.9956	-0.8545	0.3662	-4.0283	-3.0927	-18.6768	29.9927	33.66	2193	4821	-6112
0x50	 14:36:24.013	0.0713	0.0381	0.9985	-1.4648	-0.6714	-2.6245	-3.1531	-18.6603	29.4818	33.67	2186	4839	-6131
0x50	 14:36:24.096	0.0747	0.0366	0.9971	-0.5493	-1.2817	-0.5493	-3.1915	-18.7646	29.2346	33.65	2183	4842	-6124
0x50	 14:36:24.228	0.0786	0.0391	0.9976	-0.9766	-0.6104	-0.5493	-3.2190	-18.8416	29.0259	33.68	2167	4837	-6126
0x50	 14:36:24.296	0.0781	0.0410	0.9980	-1.8311	0.2441	-1.7090	-3.3234	-18.8525	28.8116	33.69	2161	4849	-6098
0x50	 14:36:24.395	0.0757	0.0332	0.9951	-1.8921	0.0610	-2.0752	-3.5266	-18.8251	28.5590	33.66	2159	4866	-6083
0x50	 14:36:24.495	0.0791	0.0386	0.9985	-3.7842	-1.1597	-9.0332	-3.7463	-18.8745	27.9822	33.65	2136	4886	-6113
0x50	 14:36:24.617	0.0601	0.0176	0.9990	-12.6343	-4.1504	-31.9214	-4.1968	-18.9734	25.9113	33.69	2065	4888	-6048
0x50	 14:36:24.694	0.1123	0.0195	0.9805	-18.5547	-5.0659	-100.4639	-4.9219	-19.7644	19.2865	33.69	1788	4922	-6034
0x50	 14:36:24.794	0.1343	0.0659	0.9912	-36.0718	2.5635	-173.3398	-5.6525	-20.2917	6.5369	33.71	1253	4833	-5926
0x50	 14:36:24.894	0.2173	0.0322	0.9858	-42.5415	19.7144	-220.5811	-6.9434	-19.9841	-13.0518	33.70	561	4459	-5795
0x50	 14:36:25.006	0.0122	-0.1743	1.0464	-6.4087	-15.0757	-83.7402	-8.4869	-19.8083	-24.5764	33.67	129	4046	-5718
0x50	 14:36:25.093	0.1465	-0.0825	0.9478	6.1646	8.6060	0.7324	-9.1461	-21.0553	-25.9717	33.71	-90	3867	-5663
0x50	 14:36:25.222	0.1299	-0.0254	0.9873	3.2959	0.3662	-13.1226	-8.2507	-20.2094	-25.1752	33.68	-89	3740	-5691
0x50	 14:36:25.308	0.1587	-0.0220	0.9771	-5.1880	6.4697	1.5259	-8.6572	-19.9622	-23.1866	33.67	-73	3733	-5709
