StartTime: 2023-09-19 14:04:00.195
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:04:00.195	-0.2183	0.0249	0.9707	-2.7466	-8.0566	-14.8315	-4.1803	1.1426	29.2566	34.75	4430	4458	-5202
0x50	 14:04:00.293	-0.2417	0.0112	0.9673	-1.0376	1.7090	-13.0005	-4.7736	1.0052	28.0316	34.77	4340	4517	-5222
0x50	 14:04:00.392	-0.2710	-0.0093	0.9668	-1.5869	0.0610	-11.8408	-5.2075	1.0382	27.0648	34.77	4295	4549	-5190
0x50	 14:04:00.492	-0.3047	-0.0068	0.9751	-0.6104	-7.1411	-10.8032	-5.5865	0.7800	26.2024	34.76	4227	4595	-5200
0x50	 14:04:00.592	-0.3589	-0.0010	0.9756	0.5493	-24.2310	-8.3008	-5.8337	-0.4010	25.3674	34.75	4099	4604	-5220
0x50	 14:04:00.691	-0.4902	0.0601	0.9033	-18.4326	-192.6880	-39.6118	-6.5643	-8.3606	23.3459	34.77	3598	4643	-5304
0x50	 14:04:00.791	0.4307	-0.1177	0.7788	-30.2124	-179.3213	-25.4517	-8.7726	-27.0264	20.6653	34.77	2113	4819	-5259
0x50	 14:04:00.891	0.8237	-0.1128	0.7871	-10.8643	-77.8809	-7.2021	-10.3381	-40.3253	20.3467	34.73	791	4952	-4880
0x50	 14:04:00.994	0.8628	-0.1196	0.7988	-8.3008	10.8032	11.3525	-11.5356	-43.8904	21.7255	34.76	298	5032	-4624
0x50	 14:04:01.090	0.6230	-0.0605	0.8125	4.5166	90.6372	-2.7466	-11.2225	-38.4082	22.3352	34.77	549	5068	-4732
0x50	 14:04:01.190	0.3516	-0.0698	0.9092	0.3052	134.3384	3.9063	-10.4590	-27.5867	22.6318	34.73	1340	5052	-5002
0x50	 14:04:01.289	-0.0845	-0.0903	0.9160	-7.0190	139.6484	13.4888	-10.6183	-14.2108	23.4668	34.73	2429	5057	-5167
0x50	 14:04:01.429	-0.3560	-0.0903	0.9575	8.2397	78.9185	10.0098	-10.2832	-3.6420	24.3622	34.79	3420	5058	-5136
0x50	 14:04:01.489	-0.3364	-0.0820	0.9478	1.3428	21.6064	3.7842	-9.7888	0.3131	25.0598	34.78	3926	4998	-5053
0x50	 14:04:01.589	-0.3115	-0.0732	0.9390	-2.9907	8.9111	1.8311	-9.8657	1.7358	25.3949	34.74	4101	4987	-5011
0x50	 14:04:01.688	-0.3311	-0.0874	0.9419	-2.2583	4.7607	2.4414	-10.0415	2.4719	25.6146	34.80	4175	4992	-4971
0x50	 14:04:01.789	-0.3311	-0.0845	0.9468	-0.9766	-0.7935	4.8828	-10.0854	2.7576	25.9552	34.77	4222	5005	-4951
0x50	 14:04:01.892	-0.3140	-0.0898	0.9438	-1.5259	-2.4414	1.6479	-10.0964	2.7466	26.3617	34.77	4227	5004	-4948
0x50	 14:04:01.987	-0.2900	-0.0908	0.9521	-1.2817	-3.4180	0.3662	-10.1843	2.4994	26.5320	34.73	4226	4997	-4946
0x50	 14:04:02.087	-0.2930	-0.1030	0.9575	-0.6714	-2.3193	-0.1221	-10.3107	2.2852	26.6858	34.72	4209	5002	-4927
0x50	 14:04:02.207	-0.2856	-0.1050	0.9521	1.2207	-0.9766	1.1597	-10.2997	2.1259	26.8726	34.70	4195	5011	-4952
