StartTime: 2023-09-15 21:02:05.970
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 21:02:05.970	-0.1201	-0.0635	0.9985	1.4038	1.2207	5.6152	-3.4607	6.3062	97.2784	28.38	5162	-404	-3115
0x50	 21:02:06.072	-0.1123	-0.0591	0.9995	1.0986	-0.9155	5.2490	-3.2904	6.3116	97.8223	28.34	5134	-419	-3090
0x50	 21:02:06.171	-0.1118	-0.0459	0.9971	0.9155	0.5493	4.5166	-3.1641	6.3446	98.2562	28.37	5089	-452	-3094
0x50	 21:02:06.266	-0.0923	-0.0508	0.9956	0.0610	2.3193	5.3101	-3.0597	6.4105	98.6737	28.33	5076	-471	-3103
0x50	 21:02:06.360	-0.0908	-0.0479	0.9873	0.7935	10.7422	3.8452	-2.9608	7.0477	99.0308	28.36	5082	-493	-3078
0x50	 21:02:06.470	-0.1240	-0.0483	0.9893	1.2207	20.6299	2.0752	-2.8564	8.5089	99.1296	28.36	5120	-516	-3024
0x50	 21:02:06.564	-0.1528	-0.0449	0.9678	1.4038	33.6914	4.0283	-2.7246	11.0193	99.2120	28.35	5198	-525	-2952
0x50	 21:02:06.674	-0.2451	-0.0464	0.9478	1.7090	48.8892	6.3477	-2.5323	15.2106	99.4208	28.39	5311	-545	-2788
0x50	 21:02:06.768	-0.3564	-0.0420	0.9160	5.1880	60.2417	10.3760	-1.9720	20.7037	100.1514	28.43	5455	-593	-2512
0x50	 21:02:06.893	-0.4561	-0.0161	0.8682	11.4746	57.8003	10.1318	-0.8350	26.4441	101.1292	28.36	5564	-669	-2219
0x50	 21:02:06.969	-0.5327	0.0171	0.8228	11.0474	46.6919	9.8267	0.8240	31.3934	102.1564	28.34	5635	-736	-1870
0x50	 21:02:07.068	-0.6396	0.0532	0.8042	5.1880	43.3960	14.6484	2.4280	35.7166	103.6011	28.37	5668	-817	-1588
0x50	 21:02:07.162	-0.7222	0.0562	0.7744	2.7466	29.7241	5.3711	3.8397	39.1278	105.0952	28.35	5662	-871	-1320
0x50	 21:02:07.266	-0.7314	0.0693	0.7422	0.1221	14.7095	-3.4180	4.0704	41.3910	105.2710	28.36	5678	-893	-1183
0x50	 21:02:07.367	-0.7227	0.0713	0.7227	0.9155	3.6621	-3.6621	3.7793	42.4567	104.6283	28.38	5703	-883	-1115
0x50	 21:02:07.464	-0.7466	0.0674	0.7231	0.0000	-0.4272	-1.9531	3.7518	42.7258	104.2493	28.37	5718	-859	-1099
0x50	 21:02:07.567	-0.7510	0.0557	0.7388	-0.7935	-15.1367	-2.6245	3.6749	42.2150	103.9307	28.40	5737	-862	-1105
0x50	 21:02:07.659	-0.7212	0.0503	0.7656	1.0376	-34.5459	-5.5542	3.2080	40.1825	103.1232	28.39	5742	-832	-1191
0x50	 21:02:07.764	-0.6265	0.0366	0.7954	2.8076	-47.1191	-4.7607	2.8510	36.3483	102.2058	28.35	5725	-796	-1411
0x50	 21:02:07.864	-0.5483	0.0327	0.8237	-1.0986	-52.3682	-3.7231	2.5104	31.6736	101.3928	28.36	5674	-785	-1630
0x50	 21:02:07.962	-0.4639	0.0254	0.8857	-9.2163	-58.4717	2.0142	1.8457	26.7023	101.1127	28.39	5587	-773	-1912
0x50	 21:02:08.064	-0.3647	0.0249	0.9302	-6.9580	-58.2275	2.6245	1.1096	21.2421	101.3104	28.39	5417	-762	-2220
0x50	 21:02:08.164	-0.2305	0.0186	0.9429	-5.0659	-69.0918	0.0000	0.5493	15.0732	101.1841	28.37	5230	-750	-2529
0x50	 21:02:08.259	-0.1187	-0.0020	0.9595	-5.6763	-58.7158	1.4038	0.2032	9.4482	101.1456	28.35	5016	-731	-2796
0x50	 21:02:08.363	-0.0239	-0.0103	0.9829	-5.6152	-40.5884	3.0518	-0.2692	5.0427	101.2720	28.37	4816	-731	-2995
0x50	 21:02:08.461	0.0288	-0.0273	0.9873	-7.0190	-27.7100	3.7231	-0.9613	2.0215	101.5192	28.39	4658	-728	-3133
0x50	 21:02:08.560	0.0464	-0.0298	0.9971	-1.1597	-11.9629	1.2207	-1.2195	0.4065	101.6949	28.38	4549	-701	-3212
0x50	 21:02:08.662	0.0464	-0.0288	0.9995	0.1831	-1.4038	-1.2207	-1.2634	-0.2527	101.5851	28.36	4493	-710	-3249
0x50	 21:02:08.761	0.0269	-0.0278	1.0073	0.9155	3.4180	0.2441	-1.2305	-0.2252	101.4148	28.32	4495	-716	-3268
0x50	 21:02:08.861	0.0122	-0.0215	1.0068	1.5259	2.2583	-1.5869	-1.0931	-0.0055	101.2390	28.38	4515	-716	-3250
0x50	 21:02:08.965	0.0244	-0.0229	1.0039	0.7935	4.3945	-2.1973	-0.9888	0.1318	100.9753	28.37	4520	-709	-3223
0x50	 21:02:09.061	0.0225	-0.0137	1.0024	0.8545	6.7749	-0.1221	-0.9338	0.5768	100.7501	28.38	4550	-717	-3221
0x50	 21:02:09.160	-0.0034	-0.0098	1.0073	1.1597	8.3618	0.1221	-0.8240	1.2909	100.6622	28.39	4591	-724	-3210
0x50	 21:02:09.260	-0.0117	-0.0093	1.0098	0.3052	0.6104	0.9766	-0.7196	1.7413	100.6128	28.32	4619	-721	-3177
0x50	 21:02:09.360	-0.0122	-0.0107	1.0039	-0.5493	6.6528	0.7324	-0.6592	2.2137	100.6073	28.33	4608	-726	-3138
0x50	 21:02:09.460	-0.0469	-0.0039	1.0083	-1.4038	11.4746	0.0610	-0.7526	2.9279	100.5908	28.35	4660	-728	-3127
0x50	 21:02:09.568	-0.0449	-0.0151	1.0000	-1.7090	12.6953	0.1221	-0.8789	3.8013	100.5359	28.39	4694	-728	-3079
0x50	 21:02:09.658	-0.0889	-0.0151	0.9961	-1.8311	22.3999	0.7935	-1.0657	5.3503	100.4919	28.35	4759	-712	-3085
0x50	 21:02:09.783	-0.1421	-0.0210	1.0005	0.0000	20.9961	0.6714	-1.1426	7.2180	100.4590	28.41	4849	-703	-3040
0x50	 21:02:09.850	-0.1382	-0.0225	0.9888	1.9531	18.4326	0.9766	-1.0437	9.1736	100.4535	28.39	4920	-706	-2963
0x50	 21:02:09.958	-0.1792	-0.0186	0.9741	-0.3052	34.3628	0.3052	-0.9668	11.8378	100.4150	28.39	5005	-721	-2881
0x50	 21:02:10.058	-0.2505	-0.0176	0.9624	2.5024	31.9214	-0.3662	-0.8624	14.8975	100.3052	28.37	5116	-715	-2753
0x50	 21:02:10.152	-0.3145	-0.0171	0.9624	-0.4883	15.5640	-1.0986	-0.8569	17.3145	100.1074	28.41	5246	-706	-2626
0x50	 21:02:10.257	-0.3418	-0.0142	0.9512	2.5635	22.7051	-0.7935	-0.7855	19.3414	99.9976	28.37	5311	-709	-2556
